memory_id,evidence_id,event_date,supplier_company,supplier_email,manufacturer_name,product_family,product_name,model,category,evidence_type,country,customer_or_project,outcome,evidence_strength,representation_signal,source_email_id,notes
FCM-HQE-001,HQE-001,,3DHISTECH,bela.valent@3dhistech.com,3DHISTECH,Digital Pathology,Digital Pathology & Cytology Equipment,,Pathology,quotation_inquiry,,,INQUIRY,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrTazAADTs0Fiv1O6R4c1xWySpPfBAAQyrkaWAAA,Historical mailbox evidence including NDA and tender authorization discussion
FCM-HQE-002,HQE-002,,Midmark,RBennici@midmark.com,Midmark / Newmed,Autoclave / Sterilizer,Autoclaves,,Sterilization,quotation_and_tender_support,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQ0puYGAAA,Historical quote with catalogue/specifications and tender authorization
FCM-HQE-003,HQE-003,,SHINVA,zhaolinpeng@shinva.com,SHINVA,Autoclave / Sterilizer,Gas Plasma Sterilizer,,Sterilization,tender_support,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQzsajgAAA,Historical tender support inquiry
FCM-HQE-004,HQE-004,,Tharmac,s.ruebsamen@tharmac.de,Tharmac,Centrifuge,Centrifuge,,Laboratory Equipment,quotation_and_technical_support,,,QUOTED,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrkYpAAA,Quotation and technical documentation correspondence
FCM-HQE-005,HQE-005,,state.gov,KiharaRM@state.gov,Unknown,Centrifuge,Centrifuge main PCB,20150350,Equipment Spare Part,procurement_request,,,NO_OUTCOME_RECORDED,LOW,EXTERNAL_ONLY,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrkYpAAA,External procurement request; not evidence of current Faram representation
FCM-HQE-006,HQE-006,,HealthSky,cecilia@healthskybio.com,HealthSky,Cytology,Automated Liquid-Based Cytology System,HealthSky SCT Express 3600A,Cytology,tender_compliance_and_quotation,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrkamAAA,Quotation and tender compliance evidence
FCM-HQE-007,HQE-007,,faram-ea.com,e.ogeto@faram-ea.com,PixCell,Hematology Analyzer,HemoScreen Analyzer,HemoScreen Analyzer,Lab Diagnostics,market_evaluation_and_pricing,,,NO_OUTCOME_RECORDED,MEDIUM,MARKET_EXPLORATION,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQ9qMD0AAA,Mailbox inquiry explicitly evaluating PixCell HemoScreen for East African market
FCM-HQE-008,HQE-008,,ESCHWEILER,esfarjani@eschweiler-kiel.de,ESCHWEILER,Analyzer,ESCHWEILER Combi Line 2 Analyzer,Combi Line 2 Analyzer,Laboratory Equipment,tender_support,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrkajAAA,Tender support correspondence for named analyzer line
FCM-HQE-009,HQE-009,,faram-ea.com,e.ogeto@faram-ea.com,,Ultrasound System,Portable / Handheld Ultrasound POCUS,POCUS,Medical Devices,tender_bid_support,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQgQZeAAAA,UNFPA limited-bid correspondence; product family evidence only
FCM-HQE-010,HQE-010,,Shengfeng Pack,sales2@shengfengpack.com,Shengfeng Pack,Diagnostic Consumables,Flip-Top Sample Vials,,Diagnostic Consumables,request_for_pricing,,,INQUIRY,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQrEA_vAAA,Quoted product for local diagnostics packaging pipeline
FCM-HQE-011,HQE-011,,MF Lab,breathcare7@mflab.com,MF Lab,Diagnostic Consumables,Flip-Top Sample Vials,,Diagnostic Consumables,quotation_follow_up,,,QUOTED,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQ6pYoEAAA,Supplier follow-up states FOB and EXW quotation had been provided
FCM-HQE-012,HQE-012,,Recare,market26@recarecn.cn,Recare,Diagnostic Manufacturing Equipment,ZQ800 Rapid Test Strip Cutter,ZQ800,Diagnostic Manufacturing,tender_or_product_pricing,,,QUOTED,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAARK6Kh0AAA,Quoted model described for cutting finished rapid-test uncut sheets
