procurement_event_id,source,tender_reference,title,buyer,country,publication_date,closing_date,matched_iati_identifier,product_family,product_identification_status,product_identification_method,product_identification_confidence,product_evidence_source,product_evidence_reference,product_evidence_excerpt,faram_product_id,product_name,manufacturer_name,principal_status,territory_fit,keyword_evidence,exclusion_evidence,match_confidence,match_status,recommended_action
proc_dea0d2114c75a788,World Bank,KE-MOH-407052-GO-RFB,Procure assorted Blood Bank equipment:,,Kenya,2025-01-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00332353,"...od sample containers, mobile blood transportation boxes,blood mixer&collector, donor weighing scales, refrigerated centrifuge, tube sealer, platelets, separation stand, blood freezer Notice Version No: 1 Date Notification of Award Issued (Y...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_d08c556148469e07,World Bank,KE-MOH-407052-GO-RFB,Procure assorted Blood Bank equipment:,,Kenya,2025-01-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00332351,"...07052-GO-RFB Procurement Method: RFB-Request for Bids Scope of Contract: LOT 1 supply and delivery of refrigerated centrifuge, sample separation centrifuge, platelet agitator, tube sealer and blood component separation stand. Notice Version...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_e60227b683547d31,World Bank,KE-MOH-407052-GO-RFB,Procure assorted Blood Bank equipment:,,Kenya,2025-01-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00332355,"...ent Method: RFB-Request for Bids Scope of Contract: LOT 3 Supply of blood cool boxes, weighing scale, refrigerated centrifuge, sample separation centrifuge, blood bank refrigerator, blood bank freezer, platelets, tube sealer blood component...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_1e723afaa1d01d20,World Bank,KE-MOH-427740-GO-RFQ,Supply and delivery of Medical Equipment to Mama Lucy Kibaki Hospital as listed: 1No. Electrophoresis for sickle cell; 3No. 12-buckets centrifuge; and 1No. Refrigerated Centrifuge 6-bucket for Blood Bank.,,Kenya,2024-11-18,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00323156,...of Medical Equipment to Mama Lucy Kibaki Hospital as listed: 1No. Electrophoresis for sickle cell; 3No. 12-buckets centrifuge; and 1No. Refrigerated Centrifuge 6-bucket for Blood Bank.,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_480bc2c65832bde4,World Bank,KE-MOH-427740-GO-RFQ,Supply and delivery of Medical Equipment to Mama Lucy Kibaki Hospital as listed: 1No. Electrophoresis for sickle cell; 3No. 12-buckets centrifuge; and 1No. Refrigerated Centrifuge 6-bucket for Blood Bank.,,Kenya,2024-11-18,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00323158,...of Medical Equipment to Mama Lucy Kibaki Hospital as listed: 1No. Electrophoresis for sickle cell; 3No. 12-buckets centrifuge; and 1No. Refrigerated Centrifuge 6-bucket for Blood Bank.,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_6e25eb1a0a6acd3f,World Bank,KE-MOH-200449-GO-RFQ,Procurement of 1. 8 refrigerated centrifuges 2. 8 platelet agitators 3. 33 blood weighing scales,,Kenya,2024-06-28,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00298467,Procurement of 1. 8 refrigerated centrifuges 2. 8 platelet agitators 3. 33 blood weighing scales,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_347edb3b7ae838cc,World Bank,KE-MOH-200449-GO-RFQ,Procurement of 1. 8 refrigerated centrifuges 2. 8 platelet agitators 3. 33 blood weighing scales,,Kenya,2024-06-28,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00298471,Procurement of 1. 8 refrigerated centrifuges 2. 8 platelet agitators 3. 33 blood weighing scales,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_84fd2ed68985899c,World Bank,KE-MOH-320083-GO-RFQ,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",,Kenya,2024-02-05,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00271708,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_84fd2ed68985899c,World Bank,KE-MOH-320083-GO-RFQ,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",,Kenya,2024-02-05,,,Biological Safety Cabinet,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,85.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00271708,"...latory water bath and 3no. Bio-safety class ii cabinet)for Embu,Narok and Lodwar county referral hospital.(Biological safety cabinet class II) Notice Version No: 0 Date Notification of Award Issued (YYYY/MM/DD) 2023/11/16 Duration of Contr...",FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,Thermo Scientific,pending,YES,Class II; biological safety cabinet,,90.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_bf0ec1a636184a27,World Bank,KE-MOH-320083-GO-RFQ,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",,Kenya,2024-02-05,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00271733,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
