manufacturer_intelligence_id,manufacturer_entity_id,manufacturer_name,manufacturer_aliases,coverage_status,commercial_priority,commercial_score,catalogue_product_count,active_product_count,pending_product_count,historical_product_count,historical_quote_count,procurement_award_count,explicit_demand_count,aligned_market_demand_count,actionable_match_count,technical_pass_count,technical_review_count,technical_fail_count,technical_unknown_count,product_families,equipment_categories,product_names,models,principal_statuses,territories,country_codes,top_countries,buyers,suppliers,latest_evidence_date,evidence_sources,recommended_action,source_layer
manufacturer_intel_08ef2ef82e60,mfr_731acfca0bea,Thermo Fisher,Thermo Fisher; Thermo Fisher Scientific; Thermo Scientific,PRINCIPAL_VALIDATION_REQUIRED,Principal validation,34,5,0,5,1,1,0,0,37,0,0,0,0,40,Biological Safety Cabinet; Centrifuge; Hotplate Stirrer; Life Science / Laboratory Equipment; Real-Time PCR System; Vortex Mixer,Laboratory Systems; Medical Devices & Equipment,Thermo Fisher Scientific AmpQuest 96 Real-Time PCR System; Thermo Fisher scientific equipment and consumables; Thermo Scientific General Purpose Centrifuge; Thermo Scientific magnetic stirrer with hotplate; Thermo Scientific MSC-Advantage Class II biological safety cabinet; Thermo Scientific Vortex Mixer,75003658; AmpQuest 96; MSC Advantage 51025411,pending,Kenya,KE,KE,,,,Controlled Faram catalogue; External procurement family demand; Historical quotation evidence; Tender product matching; Tender technical fit,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_3a5a27b14a7c,mfr_50eb6cdf0b15,Molecular Devices,Molecular Devices,PRINCIPAL_VALIDATION_REQUIRED,Principal validation,28,3,0,3,3,3,0,0,2,0,0,0,0,4,Micro-Volume Spectrophotometer; Multi-Mode Microplate Reader; Multimode Microplate Reader,Laboratory Systems,AlphaScreen assay capability; SpectraMax i3x; SpectraMax iD5e Multi-Mode Microplate Reader; SpectraMax M2e microplate/cuvette reader; SpectraMax QuickDrop Micro-Volume Spectrophotometer,AlphaScreen; i3x; iD5e; M2e; QuickDrop,pending,Kenya,KE,KE,,,,Controlled Faram catalogue; External procurement family demand; Historical quotation evidence; Tender product matching; Tender technical fit,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_9513f9ef70ec,mfr_555f22d79882,SHINVA,SHINVA,HISTORICAL_EVIDENCE_ONLY,Monitor,17,0,0,0,1,1,0,1,36,0,0,0,0,0,Autoclave / Sterilizer,Medical Devices & Equipment,Gas Plasma Sterilizer,,,,ET,Ethiopia,,,,Explicit procurement notice mention; External procurement family demand; Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_626b6f5a5555,mfr_21a87ee81c5a,Memmert,Memmert,PRINCIPAL_VALIDATION_REQUIRED,Monitor,16,3,0,3,1,1,0,0,0,0,0,0,0,0,Incubator; Laboratory Oven / Incubator; Universal Oven; Water Bath,Laboratory Systems,Memmert digital water bath WTB24; Memmert IN75 laboratory incubator; Memmert laboratory ovens; Memmert universal oven UF75,IN75; IN75 and related WTB configuration; UF75; WTB24,pending,Kenya,KE,KE,,,,Controlled Faram catalogue; Historical quotation evidence,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_fcd14724a269,mfr_dc69b5576039,HTDS,HTDS,HISTORICAL_EVIDENCE_ONLY,Monitor,14,0,0,0,1,1,0,0,28,0,0,0,0,0,Microscope,Laboratory Systems,FT-IR Microscope,FT-IR,,,,,,,,External procurement family demand; Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_6bf6cb28d04f,mfr_9df38d7d78c7,Midmark / Newmed,Midmark / Newmed,HISTORICAL_EVIDENCE_ONLY,Monitor,14,0,0,0,1,1,0,0,36,0,0,0,0,0,Autoclave / Sterilizer,Medical Devices & Equipment,Autoclaves,,,,,,,,,External procurement family demand; Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_b55353444753,mfr_87c3dcd6b7b6,PixCell,PixCell,HISTORICAL_EVIDENCE_ONLY,Monitor,14,0,0,0,1,1,0,0,23,0,0,0,0,0,Hematology Analyzer,Diagnostic Equipment,HemoScreen Analyzer,HemoScreen Analyzer,,,,,,,,External procurement family demand; Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_2b841ffc82f7,mfr_5eada80c35ed,Tharmac,Tharmac,HISTORICAL_EVIDENCE_ONLY,Monitor,14,0,0,0,1,1,0,0,36,0,0,0,0,0,Centrifuge,Laboratory Systems,Centrifuge,,,,,,,,,External procurement family demand; Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_fbf9b23098b5,mfr_84e3b9944bc3,YiCare Medical,YiCare Medical,HISTORICAL_EVIDENCE_ONLY,Monitor,14,0,0,0,1,1,0,0,23,0,0,0,0,0,Hematology Analyzer,Diagnostic Equipment,Hemoglobin Pro Analyzer,Hemoglobin Pro,,,,,,,,External procurement family demand; Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_681055986940,mfr_e3da55dde3cd,Hanna Instruments,Hanna Instruments,PRINCIPAL_VALIDATION_REQUIRED,Monitor,12,2,0,2,0,0,0,0,2,0,0,0,0,2,pH Meter; Water Photometer,Laboratory Systems; Medical Devices & Equipment,Hanna Instruments HI83303 water photometer; Hanna Instruments HI98152 pH meter,HI83303-02; HI98152-02,pending,Kenya,KE,KE,,,,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
