evidence_id,entity_name,entity_role_candidate,product_or_opportunity,evidence_strength,evidence_source,review_status,notes
FE-001,Molecular Devices,manufacturer/principal,i3x; iD5E,STRONG,Outlook: Faram&Molecular Devices; RE: Faram&Molecular Devices,REVIEW,"Direct Molecular Devices correspondence; channel-partner context and instrument quotation/specification discussion. Do not activate catalogue records until commercial authorization/product list is confirmed."
FE-002,Molecular Devices,manufacturer/principal,CX.ai; FLIPR,STRONG,Outlook: CX.ai – Follow-up on Your Interest; FLIPR – Follow-up on Your Interest,REVIEW,"Molecular Devices correspondence identifies Faram East Africa and channel/lead relationship. Product interest is evidenced, but active territory/product authorization still requires confirmation."
FE-003,DiaSys,manufacturer/principal,Gertrude's Hospital tender support,MODERATE,Outlook: AW: Tender Support Request – Gertrude's Hospital,REVIEW,"Direct DiaSys-domain correspondence confirms Faram requested support for the Gertrude's Hospital SYS 680 ci opportunity. DiaSys replied that its valued distributor in Kenya is Keton Consulting Limited and directed Faram to Keton. This is evidence of supplier engagement but explicitly indicates that DiaSys did not confirm Faram as the Kenya distributor."
FE-004,Labtron,supplier/manufacturer-candidate,Tender support / quotation,MODERATE,Outlook: Fwd: Quotation Acknowledgement Tender Support in East Africa,REVIEW,"Quotation acknowledgement from Labtron. Treat as commercial evidence only; entity role and specific products require source-document confirmation."
FE-005,Esco LifeSciences,supplier/manufacturer-candidate,UNOPS quotation,MODERATE,Outlook: UNOPS QUOTATION - ESCO LIFESCIENCES,REVIEW,"Quote and supporting documents referenced. Keep role as candidate until manufacturer/principal relationship is confirmed from the underlying quotation or agreement."
FE-006,Erlab,supplier/manufacturer-candidate,Project support / quotation,MODERATE,Outlook: Re: Project Support Erlab solutions,REVIEW,"Commercial quotation discussion referencing freight/end-user quotation. Specific models and authorization remain to be confirmed."
FE-007,Recare,supplier/manufacturer-candidate,ZQ800 strip cutter,MODERATE,Outlook: Recare rapid test strip cutter,REVIEW,"Email explicitly references ZQ800 strip cutter quotation and machine catalogue. Manufacturer/principal status is not assumed from the sender alone."
FE-008,Silver Lake Research,manufacturer-candidate,HemoTypeSC test kits,MODERATE,Outlook: Re: Inquiry: HemoTypeSC Test Kits — Project Procurement in Uganda,REVIEW,"Supplier correspondence references HemoTypeSC rapid sickle-cell test and willingness to supply. Territory authorization and principal status require confirmation."
FE-009,Ansell,manufacturer/principal-candidate,Tender requirements / requested quotation,MODERATE,Outlook: Re: Ansell interest,REVIEW,"Commercial engagement and request context identified. Product and current authorization not yet extracted."
FE-010,DiaSys,manufacturer/principal,Tender support / SYS 680 ci,STRONG,Outlook: AW: Tender Support Request – Gertrude’s Hospital,REVIEW,"DiaSys directly identified Keton Consulting Limited as its valued distributor in Kenya and provided contact details. This should be used as a competitive/channel constraint when evaluating the Gertrude's Hospital opportunity, not as Faram principal evidence."
