faram_product_id,product_name,manufacturer_name,product_family,equipment_category,model,keywords,exclusion_keywords,principal_status,territory,source,notes
FARAM-MD-M2E-001,SpectraMax M2e microplate/cuvette reader,Molecular Devices,Multi-Mode Microplate Reader,Microplate Reader,M2e,"microplate,cuvette,fluorescence,luminescence,UV/Vis,TRF,SoftMax Pro","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation correspondence on 08/06/2026 to Excellabiotechnologies references the Molecular Devices microplate reader requested. Separate Faram correspondence covers SpectraMax M2e installation and end-user training. Commercial/product evidence is strong; current principal authorization remains to be verified before activation as current principal."
FARAM-MD-QUICKDROP-001,SpectraMax QuickDrop Micro-Volume Spectrophotometer,Molecular Devices,Micro-Volume Spectrophotometer,Spectrophotometer,QuickDrop,"micro-volume,spectrophotometer,190 nm,1100 nm,190-1100 nm","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA0485AM dated 29/04/2025 to Kenya Bureau of Standards. Exact product name and technical description stated; one-year warranty plus delivery, installation and training included. Product is commercially evidenced by Faram quote; current principal authorization remains to be verified before activation as current principal."
FARAM-MEMMERT-IN75-001,Memmert IN75 laboratory incubator,Memmert,Incubator,Incubator,IN75,"incubator,IN75,74L,temperature","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 for One Acre Fund explicitly lists Memmert as preferred and quoted brand; comment identifies Model IN75 and Germany origin. Current principal authorization remains to be verified."
FARAM-INT-SCAN300-001,Scan 300 automatic colony counter,Interscience,Colony Counter,Colony Counter,Scan 300,"colony counter,automatic,Scan 300,Petri dishes","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly lists LabID as preferred brand and Interscience as vendor quoted brand, with Model Scan 300. Current principal authorization remains to be verified."
FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,Thermo Scientific,Biological Safety Cabinet,Laminar Flow Cabinet,MSC Advantage 51025411,"Class II,biological safety cabinet,MSC-Advantage,personal protection,product protection","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly lists Thermo Scientific as preferred and quoted brand and identifies MSC Advantage, Cat 51025411. Current principal authorization remains to be verified."
FARAM-MEMMERT-UF75-001,Memmert universal oven UF75,Memmert,Universal Oven,Oven,UF75,"universal oven,UF75,temperature drying,heating","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly identifies Memmert Universal Oven Model UF75, with Memmert as preferred and quoted brand. Current principal authorization remains to be verified."
FARAM-ADAM-LBA1001E-001,Adam Equipment LBA 1001e balance,Adam Equipment,Top Loading Balance,Top Balance,LBA1001e,"top loading balance,precision,1 kg,LBA 1001e","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly lists Adam Equipment-UK as vendor quoted brand and identifies Model LBA 1001e. Current principal authorization remains to be verified."
FARAM-HANNA-HI98152-001,Hanna Instruments HI98152 pH meter,Hanna Instruments,pH Meter,pH Meter,HI98152-02,"pH meter,ORP,ISE,HI98152","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 lists Hanna Instruments as vendor quoted brand, Model HI98152-02 and Slovenia origin; the preferred brand shown is Mettler Toledo. Record represents quoted product evidence, not current principal authorization."
FARAM-MEMMERT-WTB24-001,Memmert digital water bath WTB24,Memmert,Water Bath,Digital Water Bath,WTB24,"water bath,WTB24,temperature controlled","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 identifies Memmert water bath WTB24; supporting Memmert datasheet is included. Current principal authorization remains to be verified."
FARAM-EUROMEX-BB1152-001,Euromex BB.1152-PLi compound microscope,Euromex,Compound Microscope,Compound Microscope,BB.1152-PLi,"compound microscope,BB.1152-PLi,binocular,trinocular","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 includes a compound microscope with Euromex as vendor quoted brand and comment identifies model BB.1152-PLi; preferred brand shown is Olympus. Current principal authorization remains to be verified."
