procurement_event_id,tender_reference,faram_product_id,product_name,manufacturer_name,match_status,match_confidence,territory_fit,technical_status,technical_evidence_status,technical_score,technical_passed,technical_unknown,technical_failed,technical_action
proc_dea0d2114c75a788,KE-MOH-407052-GO-RFB,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_d08c556148469e07,KE-MOH-407052-GO-RFB,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_e60227b683547d31,KE-MOH-407052-GO-RFB,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_1e723afaa1d01d20,KE-MOH-427740-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_480bc2c65832bde4,KE-MOH-427740-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_6e25eb1a0a6acd3f,KE-MOH-200449-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_347edb3b7ae838cc,KE-MOH-200449-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_84fd2ed68985899c,KE-MOH-320083-GO-RFQ,FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,90.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_84fd2ed68985899c,KE-MOH-320083-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_bf0ec1a636184a27,KE-MOH-320083-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_64b21bf8ca596c78,KE-MOH-320083-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_55900ad009511c1b,KE-MOH-07-2023/2024-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_c7d6083b8efbc58d,KE-MAKUENI COUNTY-137251-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_80e8c4d3fd77e2b1,KE-KAJIADO COUNTY-270035-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_bc67743c543f19a5,KE-KALRO-294885-GO-RFQ,FARAM-WTW-PHOTOLAB7600-001,WTW photoLab 7600 UV-VIS Spectrophotometer,WTW,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,90.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_d03daf9b177b5a0f,KE-MOH-288018-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_ff1381aac0727264,KE-KILIFI COUNTY-226090-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_009346eceb256790,KE-KALRO-228256-GO-RFB,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_b6da88f762cf91bd,KE-KEMSA-188539-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_070ef21488c60095,KE-NYAMIRA COUNTY-198206-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_654c19208069309b,KE-MAKUENI COUNTY-192822-GO-RFQ,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
proc_c4739cff22f45864,KE-KEMSA-193285-GO-RFQ,FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,Thermo Scientific,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,85.0,YES,UNKNOWN,MISSING,0.0,0,0,0,Technical evidence gap; obtain and verify the tender/product specifications.
