resolution_id,opportunity_id,organisation_name,organisation_role,entity_id,group_id,resolution_level,confidence_score,resolution_method,created_at
105595,061660068-EAS25100033InvoiceNo2,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105596,061660068-EAS25100033InvoiceNo2,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105597,061660068-GB2210002IPABudgetpluscontractsigning,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105598,061660068-GB2210002IPABudgetpluscontractsigning,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105599,061660068-GB2210002InvoiceCompletionoffollowupsurveypreparation,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105600,061660068-GB2210002InvoiceCompletionoffollowupsurveypreparation,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105601,061660068-MIT2520114QuarterlyInvoice1,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105602,061660068-MIT2520114QuarterlyInvoice1,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105603,061660068-NYU2410011Invoice5,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105604,061660068-NYU2410011Invoice5,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105605,061660068-NYU2410011Invoice7,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105606,061660068-NYU2410011Invoice7,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105607,061660068-UCB2220021Invoice25,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105608,061660068-UCB2220021Invoice25,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105609,061660068-UCB2220021Invoice27,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105610,061660068-UCB2220021Invoice27,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105611,061660068-UCB2220021Invoice29,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105612,061660068-UCB2220021Invoice29,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105613,061660068-UCB2220021Invoice30,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105614,061660068-UCB2220021Invoice30,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105615,061660068-UCB2320026Invoice11,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105616,061660068-UCB2320026Invoice11,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105617,061660068-UCB2320026Invoice12,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105618,061660068-UCB2320026Invoice12,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105619,061660068-UCB2320026Invoice7,Innovations_for_Poverty_Action,IMPLEMENTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
105620,061660068-UCB2320026Invoice7,Innovations for Poverty Action,REPORTING,,GRP-DF0EF37F,GROUP,1.0,GROUP_EXACT,2026-09-19 10:43:31
