procurement_line_item_id,procurement_process_id,procurement_release_id,procurement_event_id,source,tender_reference,title,buyer,country,publication_date,closing_date,matched_iati_identifier,procurement_category,line_item_description,product_family,equipment_entity_id,manufacturer_names,manufacturer_entity_ids,manufacturer_match_method,manufacturer_match_confidence,product_evidence,model_evidence,product_name_evidence,manufacturer_evidence,match_confidence,match_status,match_evidence,recommended_action
proc_item_4d7643edf0434221cae5,proc_process_27075e78c26f5e3429a4,proc_release_9a68cc4da5fcea99adf2,proc_6ebdaa7f0c1bde83,AfDB,,Corporate Procurement,African Development Bank,,,,,,Corporate Procurement,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_eb389f3a40022a781990,proc_process_cdb1c97675753480c8cb,proc_release_1270f849260767313b8f,proc_9522f622d3e777f5,AfDB,,Project-related Procurement,African Development Bank,,,,,,Project-related Procurement,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_3d0bce4eaf4cdec25618,proc_process_63f17c8a5933bd5fb6b9,proc_release_c2c3f4a2f1381e2a7122,proc_86643b3597b7b355,AfDB,,General Procurement Notices,African Development Bank,,,,,,General Procurement Notices,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_4ab419865685566cfa36,proc_process_3764f7a0fdd40da343bf,proc_release_8b42d3d75a2b52489a03,proc_98c0fad7c0f9ea02,AfDB,,Invitation for Bids,African Development Bank,,,,,,Invitation for Bids,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_e824b5a8882ac191e19c,proc_process_42debe5d8b5919e02281,proc_release_f65942c51e0259d6a924,proc_807aef1095af2827,AfDB,,Procurement plans,African Development Bank,,,,,,Procurement plans,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_48e50802384b189be44b,proc_process_fb474e370be124bbe9a7,proc_release_9ace8cff6bc5ec464ffa,proc_8a5f19940b16a868,AfDB,,SPN - Sierra Leone - Supply & Delivery of Cassava Processing Equipment for ABC - WOKDONCAM,African Development Bank,,,,,,SPN - Sierra Leone - Supply & Delivery of Cassava Processing Equipment for ABC - WOKDONCAM,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_d374abef5d62c175c3bf,proc_process_09d7e5742c4847ae0687,proc_release_26f92cf46d402d35b818,proc_c4d7f91dd43e0c18,AfDB,,SPN - Tanzania - Supply of Last Miles Connection Materials under Submarine Power Cable Project to Zanzibar under Lot 1-3,African Development Bank,,,,,,SPN - Tanzania - Supply of Last Miles Connection Materials under Submarine Power Cable Project to Zanzibar under Lot 1-3,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_3a36d9db82f50bc935db,proc_process_98e911aec5c88d3f6b03,proc_release_84543f3d345698c48f34,proc_d8a65b88e26571d9,AfDB,,SPN - Rwanda - Supply of 34 Electric Buses - Enhancing E-Mobility Charging Infrastructure in the City of Kigali,African Development Bank,,,,,,SPN - Rwanda - Supply of 34 Electric Buses - Enhancing E-Mobility Charging Infrastructure in the City of Kigali,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_a85b7b9763df80ca65f0,proc_process_18db7e0fdf12f6c6542d,proc_release_e63649377e629b4151fe,proc_21c6608c419135c0,AfDB,,PPM - Rwanda - Supply of Flight Training Aircraft for the Centre of Excellence in Aviation Skills (CEAS),African Development Bank,,,,,,PPM - Rwanda - Supply of Flight Training Aircraft for the Centre of Excellence in Aviation Skills (CEAS),,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_84e11a68351f944a74dc,proc_process_65c461995c01c826330c,proc_release_45bf193a9217fc22db9c,proc_f40e96d63c6802ba,AfDB,,"SPN - Eritrea - Supply, Installation & Commissioning of Solar Powered Irrigation System at 5 Sites - DRSLP V",African Development Bank,,,,,,"SPN - Eritrea - Supply, Installation & Commissioning of Solar Powered Irrigation System at 5 Sites - DRSLP V",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_8bd5ba2fd957a0e50cf9,proc_process_b6a798d53d0ba51c644c,proc_release_60f872319658240e97ac,proc_51b2ffd62c51aa15,AfDB,,SPN - South Sudan - Supply of Six (6) NO. Cesspool Emptier Truck - CRSISP,African Development Bank,,,,,,SPN - South Sudan - Supply of Six (6) NO. Cesspool Emptier Truck - CRSISP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_9c8c796777376bc3c6e6,proc_process_ae324f58aebcc7d80aaf,proc_release_4e5e68d56ea4a7b06246,proc_8b3ce4adb541619a,AfDB,,SPN - South Sudan - Supply of Two (2) NO. Double Cab Pick-Up - CRSISP,African Development Bank,,,,,,SPN - South Sudan - Supply of Two (2) NO. Double Cab Pick-Up - CRSISP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
