product_intelligence_id,faram_product_id,product_name,manufacturer_entity_id,manufacturer_name,product_family,equipment_category,market_equipment_category,model,principal_status,territory,territory_codes,catalogue_status,catalogue_source,historical_quote_count,historical_evidence_strength,family_demand_count,procurement_match_count,actionable_match_count,average_match_confidence,technical_pass_count,technical_review_count,technical_fail_count,technical_unknown_count,evidence_sources,commercial_position,product_intelligence_score,recommended_action,source_layer
product_intel_c87e71b77718,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,mfr_731acfca0bea,Thermo Fisher,Centrifuge,Centrifuge,Laboratory Systems,75003658,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,36,36,0,85.0,0,0,0,36,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,45.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_c135b3f8bb47,FARAM-MD-ID5E-001,SpectraMax iD5e Multi-Mode Microplate Reader,mfr_50eb6cdf0b15,Molecular Devices,Multi-Mode Microplate Reader,ELISA Reader,Laboratory Systems,iD5e,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,1,LOW,2,2,0,85.0,0,0,0,2,Controlled Faram catalogue; External procurement family demand; Historical quotation evidence; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,43.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_b3ef72e93888,FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,mfr_731acfca0bea,Thermo Fisher,Biological Safety Cabinet,Laminar Flow Cabinet,Laboratory Systems,MSC Advantage 51025411,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,3,3,0,86.7,0,0,0,3,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,41.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_723aa3a2c8d9,FARAM-HANNA-HI98152-001,Hanna Instruments HI98152 pH meter,mfr_e3da55dde3cd,Hanna Instruments,pH Meter,pH Meter,Laboratory Systems,HI98152-02,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,2,2,0,85.0,0,0,0,2,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,39.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_cffb55b48a86,FARAM-MD-M2E-001,SpectraMax M2e microplate/cuvette reader,mfr_50eb6cdf0b15,Molecular Devices,Multi-Mode Microplate Reader,Microplate Reader,Laboratory Systems,M2e,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,2,2,0,85.0,0,0,0,2,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,39.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_cc67a925a466,FARAM-INT-SCAN300-001,Scan 300 automatic colony counter,mfr_5928feedefb4,Interscience,Colony Counter,Colony Counter,Laboratory Systems,Scan 300,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,1,1,0,85.0,0,0,0,1,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,37.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_68a48570133f,FARAM-THERMO-VORTEX-001,Thermo Scientific Vortex Mixer,mfr_731acfca0bea,Thermo Fisher,Vortex Mixer,Vortex Mixer,Laboratory Systems,,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,1,1,0,85.0,0,0,0,1,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,37.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_a1bddf402acb,FARAM-WTW-PHOTOLAB7600-001,WTW photoLab 7600 UV-VIS Spectrophotometer,mfr_054e822ba7bb,WTW,UV-VIS Spectrophotometer,UV-VIS Spectrophotometer,Laboratory Systems,photoLab 7600 UV-VIS,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,1,1,0,90.0,0,0,0,1,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,PRINCIPAL_VALIDATION_REQUIRED,37.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_b8d17f22b376,FARAM-ADAM-LBA1001E-001,Adam Equipment LBA 1001e balance,mfr_06de2070438b,Adam Equipment,Top Loading Balance,Top Balance,Laboratory Systems,LBA1001e,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_fff0ec23500a,FARAM-EUROMEX-BB1152-001,Euromex BB.1152-PLi compound microscope,mfr_5f08c218d24f,Euromex,Compound Microscope,Compound Microscope,Laboratory Systems,BB.1152-PLi,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_176f39c24740,FARAM-EUROMEX-STEREO-SB1902-001,Euromex Stereo Microscope SB.1902,mfr_5f08c218d24f,Euromex,Stereo Microscope,Stereo Microscope,Laboratory Systems,SB.1902,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_7d19d98fa8a5,FARAM-HANNA-HI83303-001,Hanna Instruments HI83303 water photometer,mfr_e3da55dde3cd,Hanna Instruments,Water Photometer,Water Photometer,Medical Devices & Equipment,HI83303-02,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_476e8869492d,FARAM-HAWACH-FILTER-001,Hawach vacuum filtration system,mfr_260929b5e530,Hawach,Membrane Filtration System,Membrane Filtration System,Laboratory Systems,,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_8dcfe6a4dda1,FARAM-SILVERLAKE-HEMOTYPESC-001,HemoTypeSC rapid sickle cell test kit,mfr_235f11717047,Silver Lake Research,Sickle Cell Rapid Diagnostic Test,Rapid Diagnostic Test,Diagnostic Equipment,HemoTypeSC,pending,"Kenya,Uganda,DRC",CD; KE; UG,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_68d517875ac5,FARAM-MEMMERT-IN75-001,Memmert IN75 laboratory incubator,mfr_21a87ee81c5a,Memmert,Incubator,Incubator,Laboratory Systems,IN75,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_4f1db359c533,FARAM-MEMMERT-WTB24-001,Memmert digital water bath WTB24,mfr_21a87ee81c5a,Memmert,Water Bath,Digital Water Bath,Laboratory Systems,WTB24,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_b1e20f6f48db,FARAM-MEMMERT-UF75-001,Memmert universal oven UF75,mfr_21a87ee81c5a,Memmert,Universal Oven,Oven,Laboratory Systems,UF75,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_7f81d4473c7d,FARAM-MD-QUICKDROP-001,SpectraMax QuickDrop Micro-Volume Spectrophotometer,mfr_50eb6cdf0b15,Molecular Devices,Micro-Volume Spectrophotometer,Spectrophotometer,Laboratory Systems,QuickDrop,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
product_intel_88e2482a1020,FARAM-THERMO-AMPQUEST96-001,Thermo Fisher Scientific AmpQuest 96 Real-Time PCR System,mfr_731acfca0bea,Thermo Fisher,Real-Time PCR System,PCR System,Medical Devices & Equipment,AmpQuest 96,pending,Kenya,KE,CONTROLLED_CATALOGUE,OUTLOOK_QUOTATION,0,,0,0,0,0.0,0,0,0,0,Controlled Faram catalogue,PRINCIPAL_VALIDATION_REQUIRED,35.0,Confirm current principal authorization and territory before treating this product as actionable.,predictive_product
